Medicine Name,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,Condition,Content,Substitute,Drug Class,InteractionEffect,NotRecommendedFor,InteractsWith0,InteractsWith1,InteractsWith2
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"Lexapro (escitalopram)""Made me sweat a lot, have vivid dreams but only got better after a month""",,Antidepressant,Increased drowsiness,Pregnancy,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"""First let me say I am super sensitive to all medications, I tried zoloft, efflexor, prozac, paxil, wellbutrin, and some others and could not tolerate them. I started on Celexa which I only had short nausea episodes. My anxiety and depression was better but I still felt a little foggy. (Started at 1/4 of 20mg upto 1/2 of 20mg) . My doctor switched me right over to lexapro (1/4 pill of 10mg),  same except there is one less molecule taken out  I did this for about 2 weeks,then I went up to 1/2 of 10mg(5mg) other than nausea for a short time the first day I felt okay. As the days went on it has been better and better. I also take Xanax .25mg but find that I rarely need it anymore. Start with baby doses, it was super easy for me! Best of luck""",,Antidepressant,Increased drowsiness,Pregnancy,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"""I was on this rubbish for about 2 months, and by the end I was chomping at the bit to taper off of it.

Cons: absolutely hellish, my emotions were erratic, anxiety worsened, constant racing thoughts, and of course, increased depression.

pros: no physical side-effects (just mental, emotional effects), though I rarely seem to get them with antidepressants.

as a comparison: 1 year of Celexa helped my anxiety a lot, but didn’t do much for my depression. 4+ months on Effexor now and it has been my savior. ask your doc about SNRIs if you’re down on your luck with SSRIs like I was.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Kidney Disease,Escitalopram,,
Diclofenac,Stomach pain,Nausea,Heartburn,Indigestion,,Pain,"""Had my wisdom tooth removed Tuesday and have been in agony since. Haven't even been able to shut my mouth and hadn't eaten a solid or semisolid since that lunchtime (it's now Saturday). Had to go back today and tooth was infected. Got given this on prescription and took it at lunch and then an hour or two ago. Results within a few hours. Tonight I ate soup, a roll and even some grapes. Am so happy! No side effects.""",,NSAID,Increased bleeding risk,Kidney Disease,Aspirin,Ibuprofen,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"Zoloft (sertraline)""I'll keep this short. Before Zoloft I was highly irritable. Couldn't keep a girlfriend even when they were crazy about me. I couldn't get along with my mom. I lost a lot of friends also with my mood swings and the way I would lash out at people for the smallest things.

Then I started taking it. Sertraline changed my life. I kept the longest job ever. Before I couldn't keep a job long because I would always annoy someone out. I had my longest most healthy relationship ever. My mom and I were like best friends. 

Then when I could get down in the dumps emotionally it would be rare but far worse then I would be if I wasn't on Zoloft. ""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Kidney Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Premenstrual Dysphoric Disorder,"""I have been taking this medication for about 5 years this October. I suffered for years even before Premenstrual dysphoric disorder (PMDD) was labeled. My family, my jobs that I had suffered because I didn't know what I was suffering from. I was prescribed 50mg. I can only take half at 25mg because it was to strong for me. I take 25mg everyday. It wasn't 3 months later when I realized that I did't have the major mood swing. I have become nicer live with since then.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"Zoloft (sertraline)""I'm a 39 y.o. male who had a job for 8 years that had it's ups and downs but pretty low with stress levels. I quit and got a new job for the new challenges and higher pay. With that, came more stress than I bargained for along with the stress of the rather long commute in horrible traffic. Long story short, I'm on Zoloft now for a week and most of the symptoms have gone. I'm feeling far more emotionally leveled and my thoughts are far more clear. I don't feel like a zombie either. I'm feeling less affected by life or issues. It will be interesting to see how I feel in about a month when it's fully working. So far, so good.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"""I've been using Lexapro for about 7 months now. I'm definitely in a better place than when I started, but I've noticed weight gain, and my depression has slowly been creeping back into my life. Maybe I need a higher dose (currently on 10mg)? For most people with depression, I think it's worth a shot.""",,Antidepressant,Increased drowsiness,Hypertension,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""I have been taking sertraline 50mg since January 2000 in the last 6 months its stopped working my anxiety is really bad again. I have seen the doctor and he has gave me 100mg to take I have been taking these for 2 days now and feel the same I hope they start to work""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Hypertension,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"""I have dealt with both anxiety and depression the majority of my adult career. I was previously on Prozac 10mg, and had a dosage increase to 20mg but I experienced no significant change and could not stay consistent with the medication. After discontinuing the Prozac, I felt I could deal with my Anxiety without medication. Boy was I wrong.. symptoms got worse..
-uncontrollable crying
-dry heaving 
- no interest in doing anything 
-tired all of the time

I finally got evaluated by my provider, and they prescribed Lexapro 10mg

This is only my second day on the medication, and anxiety is at a low. However, I am feeling very Nauseous 

I normally have a beer or two, and I have no interest in drinking alcohol 

Is this normal?""",,Antidepressant,Increased drowsiness,Heart Disease,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""I took half a 25mg tablet a day and after 8 days or so felt really ill, edgy, panicky and desperate. I did read that symptoms get worse and then better but I was struggling.
I stopped taking this and was given escitalopram which can be administered in low doses ie. 5mg, 10mg, 15mg and 20mg.  Plus one of the benzos for  when I am overwhelmed.  
I am much better now, but remember its not a race, and slow and steady wins the race. Take your time and don't rush things.  The medications can take their time too.
I for one will continue to take the medications till I feel back in control and there is nothing to stop people from considering alternative therapies in addition to the meds.
Good ones seem to include reflexology, acupuncture and cranial sacral therapy.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"Lexapro (escitalopram)""I've been taking Lexapro for 1 year and 2 months.  So far its been a life saver.  I couldn't sleep for days, stopped going to work and cried about anything that made me even the slightest bit upset.  For me anxiety is like a cock fight going on inside my head.  I also take Alprazolam for anxiety attacks, which rarely happen anymore  (once or twice a month).  I would also recommend  finding a good therapist.  Mine helps A TON.""",,Antidepressant,Increased drowsiness,Heart Disease,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Generalized Anxiety Disorder,"Lexapro (escitalopram)""I was prescribed Lexapro for GAD, PTSD from a physical assault, and moderate depression, and it has honestly changed my life. I've been on it for 6 months. Since this is my first anti-depressant, I was started at 5mg and moved up to 10mg after two weeks. The first week was very tough. I woke up in the night with sweats and a racing heart. The first few days I felt a bit foggy/bit of a head high. I was forewarned that this was normal, so I persevered; I'm so glad I did! My day-to-day anxiety has been reduced tremendously. I can sleep through the night, I handle stress well, and I feel like I'm in control of my life. I'm excited to try new things and I'm more social. Before starting Lexapro, I had depression that felt like a fog - no energy, disinterested, plus frequent migraines. I haven't had any of those symptoms since going on the pill. When I'm in situations that trigger my PTSD I feel much more prepared to handle and get through the situation. This pill has saved my life.""",,Antidepressant,Increased drowsiness,Pregnancy,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"Lexapro (escitalopram)""I have always tended to dwell on things and make things more than they are for as long as I can remember. I am a 28 years old, young-professional who was laid off 4 months ago. Despite not being too distraught about being laid-off ""I thought"", I began having panic episodes about 3-4 month where symptoms resembled a heart attack. After an ER and 2 Doctors visits, I was prescribed Lexapro. I started the treatment Monday night, and no lie was ""on cloud 9"" Tuesday morning all day and into Wednesday (today). I take 10mg once every other day! I have just taken my second dose and I am so much more at ease and this medicine is great for those with depressive and anxiety symptoms. Definite improvement in quality of life.""",,Antidepressant,Increased drowsiness,Kidney Disease,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"""I've been on escitalopram (Teva brand) for about three months now. Started with 5mg daily for a week and then went up to 10mg daily, which is what I'm still taking. I am so grateful that I decided to try this medication, after a bad experience with sertraline. I was having ruminating thoughts and waking up panicked every day. The medication has lessened the grip of those thoughts and that fear on me. Anxious thoughts still arise sometimes, but it's so much easier to ignore them, move on and be distracted for them. I marvel at how great I feel - I'm more fun, I'm more likely to say yes to social opportunities and I feel better about myself and am working out 4-5 times/week without feeling anxious. This medication is a great fit for me and I'm so appreciative of it. I have no plans to come off of it anytime soon.""",,Antidepressant,Increased drowsiness,Kidney Disease,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"Lexapro (escitalopram)""I find it doing a fine job but wish sexual side effects were lesser, but overall good medication.""",,Antidepressant,Increased drowsiness,Liver Disease,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Generalized Anxiety Disorder,"""I was getting panic attacks, overwhelming anxiety attacks and just wanted to sleep all of the time. My GP felt I'd probably been suffering depression for over five years, and prescribed Escitalopram, which works.""",,Antidepressant,Increased drowsiness,Hypertension,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""I started taking sertraline 25mg in late 2016 for seasonal depression and took this for 2 years, and stopped with assistance from my HCP. No issues, no side effects, no initial problems when starting the drug.

Fast forward to late 2019, I meet with my HCP again to start back up on 25mg for GAD and panic attacks. I began taking it on a Wednesday, and experienced the worst case of agoraphobia that Friday evening through Sunday afternoon. I could barely leave the house due to an overwhelming fear and sense of impending doom. I had to cancel multiple, major plans at the last minute due to this feeling.

After this subsided, panic attacks have disappeared. I still deal with anxiety / stress (manifests in teeth clenching, mind not shutting down) 
but coupled with therapy, 25mg has helped take the edge off slightly. I spoke with my HCP and will be moving up to 50mg daily. 50mg daily shows no change I will speak with my HCP again about another medicine that seems to be geared more towards GAD.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Heart Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Obsessive Compulsive Disorder,"Zoloft (sertraline)""I have suffered from Pure O for a few months before my psychologist advised to start Zoloft. 
This medicine is a life saver, and I've currently been trying to wane off after a 7 months remission period but unfortunately my OCD is slowly coming back, so I'm staying at 50mg for now and keep doing my CBT sessions.

At 100mg however I never had any symptoms and had 100% gone back to normal. Truly blessed medicine.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Hypertension,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Major Depressive Disorder,"Zoloft (sertraline)""I am 73 years old and have been on Zoloft (generic version) since 1990 when I began seeing a Rheumatologist for Rheumatic Fever. My depression was caused by childhood sexual abuse which my mind had locked away until this time of illness. I was also very angry and contemplated suicide. I could not share my story because of shame and the stigma. She saw I was sad and depressed and wrote a script for Zoloft which I have been on it ever since.  Started with 50mgs and now taking 100mgs. She saved my life and my sanity. I did go to counselling years later and was able to verbalize my feelings and forgive. I am  thankful for having Rheumatic Fever which led me to this sweet doctor. No side effects that I know of.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Heart Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Generalized Anxiety DisorderOff-label,"""This drug has changed my life. I went from not being able to leave my house for almost a year to living a full life again. It took so many medications before my Dr decided to try zoloft. I started at 25mg whIch didn't really work and then moves up to 50mg. This was better but once I got on 100mg my life has transformed. If you are doubting if it is working, don't worry I did too. Give it months not weeks. It took a long time for me to feel better on it, but I am so glad I waited. I highly recommend this drug. I has minimal side effects the first few weeks with it. The worst thing was probably the drunken feeling during week 1. Seriously, don't give up.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Heart Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Panic Disorder,"""I promised myself I would come back and comment. After having my first panic attack I developed severe anxiety and had a brain spasm that would come every time I tried to fall asleep so GP gave me Zolpidem. Everything got worse when I tried to go without the sleeping pills and spent 3 nights with no sleep and got up on the 4th day having panic attacks. The GP prescribed Sertraline (Zoloft) and more sleeping pills. I started 1 week 25mg, 2 week 50mg, 3 week 75 mg where I remain. The first 4 weeks were an absolute nightmare-Strong headaches, increased anxiety, I felt my brain burning!I definitely felt a lot worse than before and I don't think I would have made it through without this forum and the support of my husband. I started feeling a bit better after 6 weeks and now on the 9th week, I feel a lot better. I have gone 4 nights without zolpidem and sleeping fine, back to socializing and feeling normal. Have patience and allow for up and downs while these meds settle in your system.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Obsessive Compulsive Disorder,"Zoloft (sertraline)""I have obsessive compulsive disorder that seems to be increasing under the influence of Zoloft.  If I miss a dose I have a really bad day, so I try not to.  The Zoloft has helped my depression significantly though, so that is some relief.  It is not the right medicine for me. ""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Hypertension,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"""I had anxiety for years and years, started on 10 mg escitalopram it worked well, so doc upped it to 20mg. It worked even better. I have been on it for over 2 years, and what a difference! I hardly have any anxiety now. Better yet, I have a stressful management job which I could hardly cope with before and now its no problem.  I see the work more clearly and tackle the challenges with relative ease, and even look for more to do. I just wish I had known about escitalopam pill 20 years ago.""",,Antidepressant,Increased drowsiness,Pregnancy,Sertraline,,
Levocetirizine,Drowsiness,Dry mouth,Headache,Fatigue,,Allergic Rhinitis,"Xyzal (levocetirizine)""Works ,but makes me feel sedated feeling the next day""",,Antihistamine,Sedation risk,Diabetes,Cetirizine,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Generalized Anxiety Disorder,"Lexapro (escitalopram)""I was started on 5mg for anxiety that was severely disabling me. I had a dreadful jittery nervous feeling all the time, couldn't lift a cup of coffee without spilling it because of the shakes, had a dreadful nauseous seasick feeling. When I started the medication I felt a lot worse for about a week but gradually I began to notice a difference. Shakes were not so bad, could hold my teeth together without chattering. Then the nausea subsided. My doctor decided to increase the dosage to 10mg. It was hell for a week. The symptoms were back with a vengeance. Then after a week they settled down, I began to feel very calm and centred and my anxiety was hugely lessened. This medication has been a lifesaver.""",,Antidepressant,Increased drowsiness,Heart Disease,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"Lexapro (escitalopram)""I have had Bipolar disorder since I was 14 and never knew what it was. about 4 years ago I asked my Doc for something to help with depression and he prescribed 10 MG of Lexapro. I couldn't believe how much it helped.  He bumped me up to 20mg a day (I'm 6ft , 250 lbs).When I went to a rehab where they prescribed a lot more meds wich eventually had very bad side effects so I was pulled off of it and switched to welabutrin.I think this drug works great alone but watch for other drug reactions.""",,Antidepressant,Increased drowsiness,Liver Disease,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Major Depressive Disorder,"Lexapro (escitalopram)""Didn't do much for me at all, often felt sedated. Motivation is really bad. It stopped me from crying 24/7 and now I have an appetite but thats about it. Onto the next med I guess, I need the next one to be much better.""",,Antidepressant,Increased drowsiness,Heart Disease,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Postpartum Depression,"""Let me open by saying if you’re reading this review  - like I did - you’re probably in a dark place and looking for some reassurance. There is hope and you will get better.

At 4 weeks postpartum is started suffering from back to back panic attacks, unwanted intrusive thoughts and severe anxiety. I couldn’t eat let alone take a shower. I was prescribed 50mg Sertraline and 10mg Propranolol 3x daily for the initial increased anxiety this can cause. The first week I felt severely anxious and this continued until around week 2 when it started to calm down. Week 4 I thought the drug had stopped working as I had a random panic attack - this was temporary as week 5 the good days started to outweigh the bad. Week 7 I feel miles better. In control, level headed and almost back to the old me.

I’ve also started CBT and I’m seeing good results. Depression/anxiety is a very dark place but you’ve got this, Keep going!""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Kidney Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"""I'm on week 4 of sertaline 2 tablets in the morning I think I've got every symptom going, shaking, anxiety, tight chest where I feel I can't breathe, dizziness, basically scared, I'm hoping this is going to pass""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Liver Disease,Escitalopram,,
Diclofenac,Stomach pain,Nausea,Heartburn,Indigestion,,Back Pain,"""I slipped a disc in my lower back and also strained the muscles on the right side. I was prescribed Diclofenac by my doctor which did nothing. There was no change of any kind to my pain and in the middle of the night I was actually sobbing. For 3 days prior to this prescription I had taken neurophen which did provide some relief and I took 5 mg valium tablets, 1/2 a tablet at night with the neurophen which enabled me to sleep. After seeing my doctor ,she prescribed me ten tablets of low dose valium to take with the Diclofenic  causing me to feel drowsy but leaving me with mind-blowing pain. After 2 days of Doclofenac with no reduction in pain at all I am going back to neurophen ...my back still hurts but I can at least endure it without crying .""",,NSAID,Increased bleeding risk,Kidney Disease,Aspirin,Ibuprofen,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"""Have been on 100mg sertraline for 2 weeks , after suffering a major bout depression.
Off work for month,
After 14 Days I can begin to feel the benefits of the medication.
I say be patient ,yes first few weeks are nightmare,  making living hard work, unable to see what lies ahead, but know I feel proud that I have persevered""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Kidney Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Panic Disorder,"""About two months ago, I began taking Sertraline. I was suffering from debilitating panic attacks and anxiety, and had gotten to the point of basically not being able to function. Daily activities became nearly impossible to complete, such as working and driving. I started 50mg sertraline, had every side effect in the book, and honestly felt worse than I had before taking it. However, after reading through these reviews and having many conversations with my PCP, I stayed on the medication, and actually upped the dose to 75mg. I’m seven weeks in, and I feel almost completely back to normal- this did take probably 6 weeks though. I haven’t had a panic attack in probably two weeks, I’m working and leaving my house everyday, and many of my anxious thoughts have subsided. I wish I would’ve known it can get worse before improving when I started; however, I can honestly say it has so positively impacted my life that it was totally worth it. Stick it out- you won’t regret it!""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Liver Disease,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Generalized Anxiety Disorder,"Lexapro (escitalopram)""I have been on and off Lexapro for 4 years. Every time I think I can stop and deal with life medication-free, I end up coming right back to Lexapro. I’ve tried other meds in the past, and I’ve determined that Lexapro is the one for me. I pair it with Bupropion and have such positive results. I have a bit more energy. I’ve been able to keep weight off. Mentally, wow. I feel so, so much better. I wake up feeling excited for the day. Things don’t bother me as much, and I can handle negative experiences in a calm way, and even get over them quickly. My anxiety is way lower, which is my favorite thing about this medication. Only downside for me is lower sex drive. It’s worth it to me to feel better and to enjoy life so much more. Unless you have adverse effects that you cannot function with, I recommend sticking with it. I felt better after just two weeks. But everyone is different. Hang in there. Things can and will turn around and get better. Love to you all.""",,Antidepressant,Increased drowsiness,Kidney Disease,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Premenstrual Dysphoric Disorder,"Zoloft (sertraline)""Awful side effects! Caused me to feel very uncomfortable in my own skin, confusion and dizziness, severe anxiety, jaw clenching so tight it hurt, muscle pain and stiffness, sent me into a panic attack, which was what I wanted to prevent in the first place!""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"""I've just started taking sertraline this week but I feel worse then I did.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Post Traumatic Stress Disorder,"Zoloft (sertraline)""I was put on Zoloft for PTSD. I took 25 mg daily for just over 3 months. It really did help my anxiety and allowed me to finish the school year. With Zoloft I have been a lot calmer, and it really helped me with day to day activities. If you just started this medication and are experiencing side effects, hang in there! My first week made me very nauseous and gave me insomnia. The nausea lasted only a week for me. Even though it did wonders for my mental health, it gave me a lot of physical health issues, so I had to stop taking the medication. It caused me to gain a lot of weight in a short amount of time. Furthermore it caused a slight bedwetting issue and very elevated liver enzymes. Good for anxiety, but my body didn't like it.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Heart Disease,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Generalized Anxiety Disorder,"""I'm a 26 yo female who has had anxiety for the last 2 years.  several attacks landed me in the ER.  I have been taking ativan but recently I've had to take it almost every day just to feel normal.  Dr. put me on lexapro generic (10mg) 5 days ago. The first 3 days were the worst - I thought I was dying. I  saw the doctor again after that first 3 days and got him to reduce my dosage to 5mg.  I still take ativan because it hasn't had enough time to work completely I guess, but I'm glad to finally feel like a person again.  Dr. also told me part of my anxiety is caused by bad sleep patterns (I get maybe 5 restful hours - not tossing and turning - each night).  I bought a new bed so hopefully it will do the trick.  I definitely felt great this morning!""",,Antidepressant,Increased drowsiness,Liver Disease,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Premenstrual Dysphoric DisorderOff-label,"""I started on 5 mg then increased to 10 mg after a month.I have pmdd as well as depression, and anxieties.This worked better for me than sarafem (prozac) which caused me to gain weight. I take just one tablet at bed time since it does cause drowsiness. I actually lost a few pounds since taking the 10 mg a day and it seemed to help my constipation.The only real side effect is dry mouth but it makes me just drink more fluids which is good for my body anyways to keep it hydrated. I'm actually very pleased with this drug and happy with the results.I t goes to show that not all SSRI drugs work the same.""",,Antidepressant,Increased drowsiness,Pregnancy,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"Lexapro (escitalopram)""My doctor prescribed 10mg Lexapro for severe anxiety about 5months ago.  The first 4 weeks were really rough as the side effects almost caused me to discontinue the medicine. By the 4th week, I had insomnia.  I couldn't sleep for several days.  I felt like I was on speed.  So, I cut the pill in half and the next day I felt a difference.  I've been on 5mg for the last 4 months. And, I must say that it has changed my life for the better.  I no longer have those negative thoughts or bouts of anxiety. Its amazing.  The only side effects that continue are: clenching of the jaw and weight gain due to an increase in appetite. If you take Lexapro, give it 4 to 5 weeks to work before giving up. Best of luck.""",,Antidepressant,Increased drowsiness,Kidney Disease,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"""I thought I'd write a review as I spent months reading these forum's trying to decide if I should try escitroplam or not. It took me months to get the courage up to take it. I started at 2.5 and bumped up to 5.  I've been on 5 for about 5 weeks now and wow what a difference.  Anxiety and panic attacks minimal and depression lifting. It's a very good drug. The least side effects of all I've tried. Headaches,nausea but that's all. Very happy with this. I was extremely anxious about taking this after a bad experience with prozac but I'm very pleased!""",,Antidepressant,Increased drowsiness,Pregnancy,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"""I’m am grateful I ignored the bad reviews and went to the doctor. 

My quality of life is a million times better. I can actually think & see things in a new perspective. It’s like I had been living with blasting music 24/7. The older I got, the louder the world got. 

I laughed sincerely for the first time within a few weeks. I’m in my early 30’s so imagine my surprise to feel a real, unhindered laugh come out and the joy my body felt at laughing. 

Yes, the first month was hard - nausea, dizziness, sleepiness, extra number 2, etc. Taking it with food really help and it really only lasted a few weeks. But! I haven’t had a migraine in 8 months, I can lay down and sleep whenever I need to (especially at night), my kids started telling me how fun and kind I am now. 

The only real downside is the sexual side. Not that it’s not enjoyable but it’s more difficult to get things done. Not impossible though. 

This drug saved my life and is a blessing from God.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Kidney Disease,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"""I took 10mg, 20mg and 30mg  escitalopram for OCD and anxiety. I only really felt a difference at 20mg. Escitalopram helped my anxiety immensely, and I found myself doing things that I hadn't ever done comfortably in my life, like be able to  starting a conversation with a stranger. It did not help my OCD enough though, so I am trying something new. While it did not help 100%, it did get me through a rough period that I didn't think I would make it through. I am trying fluoxetine now, but I wouldn't hesitate to recommend escitalopram if you have anxiety or OCD. Very, very minimal side effects besides vivid dreams, but they were fun!""",,Antidepressant,Increased drowsiness,Liver Disease,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Anxiety,"Lexapro (escitalopram)""I have been on Lexapro for nine days.  I was on Prozac only five before that. I have been very queasy  or nauseated ever since I started the SSRI’s. It’s mainly the first half of the day.  At night it tends to go away.   Has anyone experienced this with these drugs and will it subside at some point.  Is there anything to help with the nausea I have tried several things. Every day is so hard when you are sick all day, I also tremble in my hands unless I take Klonopin which I try not to use much.  Thanks for any help.""",,Antidepressant,Increased drowsiness,Diabetes,Sertraline,,
Levocetirizine,Drowsiness,Dry mouth,Headache,Fatigue,,Allergies,"""I took the med levocetirizine since I have allergies. I took it for 3 days straight but stopped since I was not feeling well. Went two days without it and then took it again because my allergies were still bothering me. I woke up the next morning after taking it and realized I cannot smell or taste anything, and my nose and headache pain for work. It has got to be this medicine. I will not take it again.""",,Antihistamine,Sedation risk,Heart Disease,Cetirizine,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Social Anxiety Disorder,"""I take it for depression, social anxiety and panic disorder since I was 23 (40 now). I've been on several medicines*, but the side effects of sertraline were the less harmful.

*paroxetine
*escitalopram
*citalopram
*venlafaxine
*duloxetine
*mirtazapine
*bupropion
*amitriptyline
etc.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Major Depressive Disorder,"Zoloft (sertraline)""I suffer from major depression, GAD, and ADHD and was given Zoloft for my worsening depression and anxiety on top of Wellbutrin and lamotrigine. I began experiencing a lot of gas and digestive issues but that was a minor thing. Never before have I reacted so negatively to a medication. I was already depressed, but usually it was more up and down. This just made me feel very dissociated and completely dead inside. I have cut very occasionally and impulsively, but on this I was compulsively injuring myself with anything I could for hours just to feel something. Was extremely traumatic. I didn’t react well to Prozac when I took it years ago either. I’m going to stay away from SSRI’s. Please be careful! Antidepressants can be amazing and I don’t mean to discourage anyone from getting help. My experience isn’t everyone’s, but nonetheless, they should definitely be taken seriously. The casual way in which they are prescribed nowadays can make it easy to forget that.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"""I started using sertraline on December 23rd for mild depression it felt a little strange at first but nothing too bad, then by Boxing Day I had the most severe depression and anxiety that I could ever imagine I felt that my depression had worsened and was worried that it was at a whole new level. Myself and family suffered like this till January 2nd when I decided to stop taking it and the effects started to subside. I wasn’t informed of the side effects of this drug and was at breaking point be very careful taking this it’s extremely dangerous if not given the right information.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Diabetes,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""I was prescribed Sertraline for anxiety , I was not advised of the possible side effects and suffered really badly with them . This is now my 8th week and only just starting to feel some of the benefits and no side effects.  At the start I was unable to eat , sleep and constantly felt sick . Now I don't feel as anxious and  sleeping is much better .""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
